Week,Role,Inventory,Incoming Shipping,Week,Role,Order Quantity,Demand,Excess Inventory,Backorder,Holding Cost,Backorder Cost,Total Cost,username,approach
0,Retailer,10,"[(5, 1)]",0,Retailer,,,,,,,0,Simran ,Manual
1,Retailer,10,"[(13, 2)]",1,Retailer,13.0,12.0,3.0,0.0,3.0,0.0,3,Simran ,Manual
2,Retailer,3,"[(13, 3)]",2,Retailer,13.0,10.0,6.0,0.0,6.0,0.0,9,Simran ,Manual
3,Retailer,6,"[(13, 4)]",3,Retailer,13.0,13.0,6.0,0.0,6.0,0.0,15,Simran ,Manual
4,Retailer,6,"[(13, 5)]",4,Retailer,13.0,10.0,9.0,0.0,9.0,0.0,24,Simran ,Manual
5,Retailer,9,"[(13, 6)]",5,Retailer,13.0,12.0,10.0,0.0,10.0,0.0,34,Simran ,Manual
6,Retailer,10,"[(13, 7)]",6,Retailer,13.0,10.0,13.0,0.0,13.0,0.0,47,Simran ,Manual
7,Retailer,13,"[(13, 8)]",7,Retailer,13.0,11.0,15.0,0.0,15.0,0.0,62,Simran ,Manual
8,Retailer,15,"[(13, 9)]",8,Retailer,13.0,14.0,14.0,0.0,14.0,0.0,76,Simran ,Manual
9,Retailer,14,"[(13, 10)]",9,Retailer,13.0,13.0,14.0,0.0,14.0,0.0,90,Simran ,Manual
10,Retailer,14,"[(13, 11)]",10,Retailer,13.0,13.0,14.0,0.0,14.0,0.0,104,Simran ,Manual
11,Retailer,14,"[(13, 12)]",11,Retailer,13.0,12.0,15.0,0.0,15.0,0.0,119,Simran ,Manual
12,Retailer,15,"[(13, 13)]",12,Retailer,13.0,10.0,18.0,0.0,18.0,0.0,137,Simran ,Manual
